anonId,printer,count,classes
job-b3f3e8173f,LG-640,2,CANCELED;FAILED
job-872407a811,LG-640,2,CANCELED
job-b3f3e8173f,LG-640,2,CANCELED;FAILED
job-872407a811,LG-640,2,CANCELED
job-b3f3e8173f,LG-640,2,FAILED;LG640_CMYK_ONLY
job-b98f282aa4,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-0cc0bb89c6,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-dd3cd1875e,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-c505ff9117,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-f2cc95c6fe,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-fd7f077712,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-1e52dab2aa,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-1e52dab2aa,LG-640,6,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-1e52dab2aa,LG-640,20,CANCELED;DUPLICATE_SUMMARY;FAILED;LG640_CMYK_ONLY
job-1e52dab2aa,LG-640,20,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-125bcbdf9e,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-830ce470cf,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-ef0be0513f,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-8da483c7fd,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-f835a64b8a,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-0868190ee7,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-cd0737fa04,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-b43df7ac7f,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-b43df7ac7f,LG-640,2,CANCELED
job-e3eef61f05,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-6df3eb4ba4,LG-640,17,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6df3eb4ba4,LG-640,3,DUPLICATE_SUMMARY;LG640_CMYK_ONLY
job-e65f621cab,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-e65f621cab,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-e65f621cab,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-e65f621cab,LG-640,2,CANCELED;FAILED
job-6df3eb4ba4,LG-640,10,CANCELED
job-6df3eb4ba4,LG-640,10,CANCELED
job-e65f621cab,LG-640,6,CANCELED;FAILED
job-6df3eb4ba4,LG-640,14,CANCELED
job-6df3eb4ba4,LG-640,6,CANCELED
job-e65f621cab,LG-640,2,CANCELED
job-e65f621cab,LG-640,18,CANCELED;DUPLICATE_SUMMARY;FAILED;LG640_CMYK_ONLY
job-5aef1cf2c5,LG-640,10,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-a8ccebfddf,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-7dd10fa339,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-a0e957143e,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6911def924,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-9fcfa6a535,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-5967abd055,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-eef41376b9,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-d2fda1d2e0,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-f52375d600,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-1f81a7aec3,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-993745b7fb,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-07ffa14c82,LG-640,4,CANCELED;DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-eef41376b9,LG-640,4,CANCELED
job-d2fda1d2e0,LG-640,4,CANCELED
job-f52375d600,LG-640,4,CANCELED
job-1f81a7aec3,LG-640,4,CANCELED
job-993745b7fb,LG-640,4,CANCELED
job-5967abd055,LG-640,4,CANCELED;LG640_CMYK_ONLY
job-07ffa14c82,LG-640,12,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-dd91adb17f,LG-640,8,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-b3817f7e4c,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-07ffa14c82,LG-640,12,CANCELED
job-dd91adb17f,LG-640,8,CANCELED
job-b3817f7e4c,LG-640,4,CANCELED
job-19c1306492,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-e296cb58d2,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-f7118f9cad,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-7a3e003c9c,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-2f3e7a8e8a,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-198583076a,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-1b073e1661,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-d5b2003fbd,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-d5b2003fbd,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-3d053caad4,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-b50197af64,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-d5b2003fbd,LG-640,4,CANCELED
job-3d053caad4,LG-640,4,CANCELED
job-b50197af64,LG-640,4,CANCELED
job-a065ec5be7,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-78b70f808e,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-d5b2003fbd,LG-640,4,CANCELED
job-3d053caad4,LG-640,4,CANCELED
